product_id,name,price,original_price,discount,brand,category,availability,description,,,,,,,,,,
6349,El Rashidi Fig Jam - 700g,54.99  LE,69.25 LE,20.6%,El Rashid El-Mizan,El Rashid El-Mizan,in stock,"Layer your toast with the yummy El Rashidi El Mizan Fig Jam to savor a burst of its fruity flavor. Derived from fresh figs, this jam epitomizes purity and indulging sweetness. It has a smooth taste that would make you reminisce succulent fresh fruits.",,,,,,,,,,
6350,El Rashidi El Mizan Apricot Jam - 700g,59.99  LE,71.5 LE,16.1%,El Rashid El-Mizan,El Rashid El-Mizan,in stock,"Spread a layer of the El Rashidi El Mizan Apricot Jam on fresh toast to savor a burst of fruity flavor. Derived from wholesome apricots, this jam epitomizes purity and indulging sweetness. It has a smooth taste that would make you reminisce succulent fresh fruits.",,,,,,,,,,
6380,Vitrac Strawberry Cream Jam - 430g,42.99  LE,53.99 LE,20.4%,Vitrac,Vitrac,in stock,Engage in a nutritious and sweet indulgence with the Vitrac Strawberry Cream Jam. It is rich in flavor and is sure to fulfil your taste buds. The jam ranks high in vitamins and is healthy for consumption. It is perfect to consume with a toast or pancake.,,,,,,,,,,
6381,Vitrac Fig Cream Jam - 430g,42.99  LE,53.99 LE,20.4%,Vitrac,Vitrac,in stock,Enjoy fruity goodness with the Vitrac Fig Cream Jam. It has a delicious taste to satisfy your palate. The jam is rich in nutrition and sure to keep you fit and healthy. You can consume this jam with any food of your choice.,,,,,,,,,,
6382,Vitrac Apricot Cream Jam - 430g,46.99  LE,58.99 LE,20.3%,Vitrac,Vitrac,in stock,"Make your diet nutritious with the Vitrac Apricot Cream Jam. This jam is sure to fulfil your palate with its delicious, fruity taste. It is rich in vitamins and minerals to boost your physical fitness. You can consume this jam on a daily basis with toasts, waffles or pancakes.",,,,,,,,,,
6513,Hero Clover Honey - 650g,152.99  LE,195.99 LE,21.9%,Hero,Hero,in stock,"The Hero Clover Honey is made from the best natural ingredients, without the use of any artificial fillings, preservatives or additives. It ensures fine quality and purity of the honey for a healthy lifestyle full of energy. You can use it to sweeten your dressing or spread the honey on the toast or pancakes to enjoy a delicious meal. It lets you enjoy the great flavor at home, at work or during any time of the day with its light taste.",,,,,,,,,,
6515,Hero Citrus Honey - 650g,152.99  LE,195.99 LE,21.9%,Hero,Hero,in stock,"The Hero Citrus Honey is made from the best natural ingredients, without the use of any artificial fillings, preservatives or additives. It ensures fine quality and purity of the honey for a healthy lifestyle full of energy. You can use it to sweeten your dressing or spread the honey on the toast or pancakes to enjoy a delicious meal. It lets you enjoy the great flavor at home, at work or during any time of the day with its light taste.",,,,,,,,,,
6556,Holw El Sham Om Ali With Nuts 155g,39.99  LE,52.99 LE,24.5%,Holw Elsham,Holw Elsham,in stock,Holw El Sham Om Ali With Nuts 155g,,,,,,,,,,
6565,Al Doha Fine Flour - 1Kg,29.99  LE,37.5 LE,20%,Al Doha,Al Doha,in stock,"Reinvent your baked creations with the Al Doha Fine Flour. It is finely textured to lend a smooth quality to the confectionaries. This flour gives a subtle crispy feel when used as a breading for meat, fish and vegetables. It acts as a perfect base for delicate baking delicacies, including cupcakes and muffins.",,,,,,,,,,
6580,Holw El Sham Basbousa With Hazelnut 400g,49.99  LE,64.99 LE,23.1%,Holw Elsham,Holw Elsham,in stock,Get the best of taste and nutrition with the Holw El Sham Basbousa with Hazelnut. It is rich in flavor and is sure to satisfy your taste buds. The basbousa is rich in nutrients and proteins to enhance your fitness. It is ideal to consume with tea or coffee.,,,,,,,,,,
